property_id, price ,num_bedrooms,num_bathrooms,lot_size,num_floors,is_waterfront,view_rating,condition_rating,year_built,year_renovated,zip_code,latitude,longitude,dates
7229300521," $231,300.00 ",2,1.0,5650,1.0,0,0,3,1955,0,98178,47.5112,-122.257,October 13 2014
6414100192," $538,000.00 ",3,2.25,7242,2.0,0,0,3,1951,1991,98125,47.721,-122.319,December 09 2014
5631500400," $180,000.00 ",2,1.0,10000,1.0,0,0,3,1933,0,98028,47.7379,-122.233,February 25 2015
2487200875," $604,000.00 ",4,3.0,5000,1.0,0,0,5,1965,0,98136,47.5208,-122.393,December 09 2014
1954400510," $510,000.00 ",3,2.0,8080,1.0,0,0,3,1987,0,98074,47.6168,-122.045,February 18 2015
7237550310," $1,225,000.00 ",4,4.5,101930,1.0,0,0,3,2001,0,98053,47.6561,-122.005,May 12 2014
1321400060," $257,500.00 ",3,2.25,6819,2.0,0,0,3,1995,0,98003,47.3097,-122.327,June 27 2014
2008000270," $291,850.00 ",3,1.5,9711,1.0,0,0,3,1963,0,98198,47.4095,-122.315,January 15 2015
2414600126," $229,500.00 ",3,1.0,7470,1.0,0,0,3,1960,0,98146,47.5123,-122.337,April 15 2015
3793500160," $323,000.00 ",3,2.5,6560,2.0,0,0,3,2003,0,98038,47.3684,-122.031,March 12 2015
1736800520," $662,500.00 ",3,2.5,9796,1.0,0,0,3,1965,0,98007,47.6007,-122.145,April 03 2015
9212900260," $468,000.00 ",2,1.0,6000,1.0,0,0,4,1942,0,98115,47.69,-122.292,May 27 2014
114101516," $310,000.00 ",3,1.0,19901,1.5,0,0,4,1927,0,98028,47.7558,-122.229,May 28 2014
6054650070," $400,000.00 ",3,1.75,9680,1.0,0,0,4,1977,0,98074,47.6127,-122.045,October 07 2014
1175000570," $530,000.00 ",5,2.0,4850,1.5,0,0,3,1900,0,98107,47.67,-122.394,March 12 2015
9297300055," $650,000.00 ",4,3.0,5000,2.0,0,3,3,1979,0,98126,47.5714,-122.375,January 24 2015
1875500060," $395,000.00 ",3,2.0,14040,2.0,0,0,3,1994,0,98019,47.7277,-121.962,July 31 2014
6865200140," $485,000.00 ",4,1.0,4300,1.5,0,0,4,1916,0,98103,47.6648,-122.343,May 29 2014
16000397," $189,000.00 ",2,1.0,9850,1.0,0,0,4,1921,0,98002,47.3089,-122.21,December 05 2014
7983200060," $230,000.00 ",3,1.0,9774,1.0,0,0,4,1969,0,98003,47.3343,-122.306,April 24 2015
6300500875," $385,000.00 ",4,1.75,4980,1.0,0,0,4,1947,0,98133,47.7025,-122.341,May 14 2014
2524049179," $2,000,000.00 ",3,2.75,44867,1.0,0,4,3,1968,0,98040,47.5316,-122.233,August 26 2014
